Population Size,Mutation Rate,Crossover Rate,Crossover Type,Mutation Type,Fitness,Average Fitness,Time
500,0.1,0.8,OX,swap,-626.0117053633405,-638.9364595340675,3.663553237915039
1000,0.05,0.8,CX,scramble,-908.2355823911366,-922.5051837164737,6.8895158767700195
1000,0.1,0.7,OX,inversion,-582.5042654620959,-588.5078349028167,8.13105583190918
1000,0.05,0.8,CX,inversion,-563.6386879349471,-567.32259647372,7.094001054763794
100,0.2,0.7,PMX,scramble,-764.681592335493,-831.3484230616555,1.655569314956665
100,0.05,0.8,OX,inversion,-635.0408054023336,-640.5378934626668,0.8009579181671143
1000,0.2,0.9,OX,inversion,-573.9355235963387,-588.2159587212076,8.404817581176758
1000,0.05,0.9,OX,swap,-611.4214391920822,-617.6542922664815,7.464503049850464
500,0.2,0.7,CX,scramble,-723.9908155721952,-787.92755404581,3.5065786838531494
1000,0.05,0.7,OX,scramble,-639.4613243269632,-654.7262049808411,7.8893537521362305
100,0.05,0.9,CX,swap,-826.1659436905686,-854.451513674256,0.7539424896240234
100,0.2,0.8,CX,insertion,-688.0384000800776,-726.6185102248189,0.727881669998169
1000,0.1,0.7,CX,swap,-668.9699747210141,-681.3376018476583,6.78529953956604
500,0.2,0.7,OX,inversion,-584.4440102045542,-601.1724997897544,4.867980241775513
100,0.2,0.8,PMX,scramble,-785.0016344736215,-841.7821637595589,2.0357728004455566
100,0.1,0.9,CX,insertion,-656.1725649597796,-663.6063618752435,0.6338999271392822
500,0.1,0.8,CX,inversion,-599.0501237174227,-606.9339473254194,3.4632482528686523
1000,0.2,0.9,OX,swap,-611.9103541470128,-638.6885807919999,8.841861248016357
100,0.05,0.7,PMX,swap,-750.6369256134487,-757.2002880391777,1.5486576557159424
500,0.05,0.9,OX,inversion,-596.9440880576045,-600.7388950747594,4.193819522857666
1000,0.05,0.8,PMX,inversion,-567.143622721505,-570.7840778392227,17.95454978942871
100,0.1,0.8,OX,swap,-727.2988233193032,-743.3504142512454,0.7457084655761719
1000,0.1,0.8,PMX,swap,-609.0090252316068,-621.8349752144742,18.1328125
500,0.05,0.9,OX,insertion,-652.4928521949843,-656.1743437422929,3.913297414779663
1000,0.05,0.7,CX,swap,-656.6484272718424,-670.5172708489939,6.679272174835205
100,0.2,0.9,CX,inversion,-592.9714020287907,-607.2274469118055,0.6486818790435791
500,0.1,0.9,CX,insertion,-637.989414035181,-647.6633960476844,3.3780910968780518
500,0.05,0.9,CX,insertion,-633.7866311669918,-645.7591891163595,3.290125846862793
500,0.05,0.9,PMX,inversion,-594.9228043012068,-598.2564972562285,10.392977952957153
100,0.1,0.9,PMX,inversion,-591.5893093373204,-600.5321084676566,2.6379218101501465
1000,0.05,0.7,OX,scramble,-665.2520575597998,-679.8445501979182,8.821040868759155
500,0.2,0.9,OX,inversion,-592.5247256705763,-605.30884389721,3.851832151412964
1000,0.05,0.9,PMX,inversion,-565.8982337243856,-569.6369274966139,19.181490182876587
500,0.05,0.7,OX,scramble,-766.4138613088629,-784.9690249688632,3.8862533569335938
100,0.05,0.8,CX,scramble,-870.3343863544043,-881.7205504905992,0.6542322635650635
1000,0.2,0.8,OX,insertion,-599.5457009577846,-616.028323812498,7.931191921234131
500,0.2,0.7,CX,insertion,-597.9495858056829,-615.6923745674209,3.4667699337005615
